queue_length,processing_rate,active_counters,capacity,current_arrivals,hour,day_of_week,number_of_tokens,completed_tokens,waiting_time_minutes
23,6.0,3,87,2,17,3,29,6,77.37
14,6.34,1,52,12,14,6,27,13,149.91
31,9.61,4,83,1,10,4,35,4,57.69
31,8.78,1,94,3,11,5,47,16,241.78
23,9.31,4,41,14,17,1,28,5,36.57
40,8.51,2,53,13,16,6,55,15,143.07
48,2.87,1,63,1,11,4,58,10,1151.54
48,3.19,5,82,0,10,0,57,9,205.81
11,6.21,2,37,5,9,4,25,14,54.89
38,3.97,4,47,14,12,6,44,6,162.6
1,5.81,2,86,9,11,1,2,1,4.78
2,5.15,1,34,7,15,3,13,11,24.95
48,6.4,3,55,9,14,2,66,18,178.79
36,7.98,3,59,9,13,3,47,11,105.64
48,7.72,4,83,1,9,1,63,15,94.63
16,6.17,4,42,13,10,6,21,5,46.33
48,8.58,3,58,8,17,1,50,2,108.68
1,5.45,4,32,14,16,0,2,1,3.1
1,9.17,2,87,12,16,4,20,19,3.18
27,2.57,5,31,2,12,4,31,4,145.93
22,9.64,5,57,7,10,3,32,10,31.85
36,7.24,2,31,11,9,6,38,2,150.36
31,5.04,5,36,7,15,2,33,2,72.87
32,3.58,1,55,14,13,2,36,4,617.41
0,5.83,2,45,2,17,0,10,10,0.0
18,3.56,4,52,2,14,1,20,2,86.35
1,3.33,2,69,11,8,0,13,12,13.18
43,6.94,3,89,14,8,4,50,7,124.9
25,6.18,4,61,5,17,5,44,19,60.57
31,7.36,3,44,0,9,5,40,9,89.92
5,9.44,4,42,3,17,5,6,1,3.87
31,6.26,5,34,0,10,1,34,3,65.03
3,6.65,2,81,13,8,0,20,17,18.68
10,2.72,1,70,2,12,6,28,18,254.09
16,7.74,4,82,8,10,3,19,3,34.93
37,5.2,4,79,13,8,4,56,19,103.15
23,9.81,3,44,13,15,5,31,8,48.22
4,8.59,5,36,4,13,6,19,15,8.06
33,6.18,3,69,11,16,2,38,5,103.52
5,2.99,3,57,4,10,0,8,3,38.1
21,8.88,5,61,10,16,4,29,8,27.39
10,8.4,1,44,3,16,4,22,12,72.21
47,3.48,3,99,2,8,2,55,8,267.02
15,4.36,3,94,4,10,2,20,5,82.84
32,8.35,4,33,14,13,2,50,18,68.88
8,3.48,5,40,13,15,5,21,13,26.48
5,9.34,2,55,10,11,5,19,14,17.82
15,5.4,1,90,3,12,0,17,2,191.39
28,2.7,1,66,7,16,2,32,4,620.74
2,8.53,5,52,3,13,3,19,17,1.91
19,4.99,4,69,10,14,4,32,13,64.9
35,6.21,4,52,11,14,2,50,15,102.03
18,2.9,5,45,7,11,4,31,13,88.54
25,2.02,4,90,5,11,1,33,8,216.22
2,7.1,1,97,14,11,6,16,14,20.54
18,6.12,1,60,13,12,1,24,6,199.54
19,6.75,2,82,11,12,2,32,13,97.01
31,8.35,5,54,10,15,4,36,5,47.46
6,7.17,3,73,4,16,6,20,14,12.95
40,3.4,3,41,3,9,1,59,19,237.33
32,4.89,2,38,3,14,2,39,7,232.91
39,9.25,2,41,11,8,4,40,1,129.71
38,8.16,4,98,3,8,2,45,7,74.1
17,6.45,2,83,10,11,5,17,0,91.54
39,4.05,2,83,12,17,4,55,16,292.14
0,4.42,3,57,12,14,1,18,18,0.0
10,7.86,4,85,8,9,2,14,4,21.48
27,8.81,2,98,3,9,1,46,19,93.91
24,7.37,2,87,11,8,2,39,15,98.54
49,8.48,4,71,8,17,0,55,6,90.66
22,8.13,5,67,12,9,1,28,6,30.84
30,3.2,4,97,9,14,1,47,17,161.28
29,5.39,3,82,5,16,3,46,17,107.86
41,3.22,5,62,9,13,6,42,1,172.41
34,3.88,1,85,12,17,5,48,14,526.2
6,8.95,4,80,6,9,1,19,13,4.89
15,5.78,3,72,11,17,4,32,17,55.02
25,6.28,5,44,9,17,6,33,8,47.89
47,3.43,4,67,2,16,2,60,13,204.12
48,4.5,2,44,7,14,0,52,4,365.65
1,3.84,4,34,2,8,4,11,10,3.2
0,3.65,1,83,0,16,6,7,7,2.06
47,7.1,4,80,12,9,4,51,4,100.89
11,4.06,5,39,12,11,4,21,10,35.32
4,7.06,5,41,9,16,4,8,4,4.26
36,2.47,4,33,11,11,6,52,16,253.63
31,3.13,5,47,4,10,0,34,3,134.33
8,4.2,2,65,1,8,3,22,14,57.37
40,6.78,4,54,9,14,5,58,18,102.2
34,7.41,2,65,13,13,1,35,1,159.31
18,5.54,2,96,5,17,6,34,16,100.02
47,5.57,3,38,12,11,4,58,11,190.41
15,7.8,4,90,9,13,1,31,16,27.46
2,2.13,5,82,8,13,6,11,9,11.28
19,4.73,2,47,0,11,1,36,17,144.03
23,8.55,3,72,13,13,4,41,18,67.94
32,6.83,4,64,12,17,3,49,17,75.82
23,4.7,4,92,3,15,6,35,12,72.86
10,9.24,1,33,14,10,1,23,13,69.3
48,8.18,1,70,0,11,2,63,15,397.81
7,4.12,2,74,0,17,1,24,17,49.14
35,7.16,1,79,7,8,5,52,17,292.61
37,6.77,2,57,13,11,4,52,15,192.57
39,5.21,5,71,13,17,0,55,16,92.44
19,4.94,2,98,12,17,1,25,6,116.17
34,4.75,1,30,13,16,3,45,11,426.94
47,6.94,5,68,10,15,2,48,1,78.42
24,5.54,1,46,14,11,2,33,9,299.72
34,8.65,2,64,1,14,0,38,4,137.62
24,7.36,3,75,0,17,5,26,2,66.42
28,2.56,4,71,10,10,0,46,18,185.61
17,7.12,1,68,7,16,5,29,12,145.18
45,4.17,2,78,3,17,1,56,11,325.08
17,6.74,5,91,2,11,4,19,2,31.58
1,7.44,1,67,12,9,3,6,5,5.71
34,3.85,1,52,11,17,2,47,13,532.4
15,5.65,4,51,3,12,0,18,3,45.05
40,3.52,2,33,13,9,3,52,12,345.43
35,2.42,3,78,10,17,5,53,18,290.91
32,5.03,5,88,4,13,4,49,17,86.37
3,4.9,2,97,0,17,2,5,2,18.32
32,9.96,5,31,14,8,2,51,19,38.73
13,5.57,1,78,13,13,5,18,5,158.83
20,4.67,4,60,10,11,4,35,15,71.16
47,6.64,4,69,0,10,2,66,19,124.14
19,2.71,3,77,2,9,4,21,2,142.75
7,9.69,4,80,5,14,2,18,11,14.27
6,7.08,1,72,0,16,1,24,18,55.4
2,8.04,3,84,13,10,5,20,18,4.1
16,3.36,2,78,10,13,4,19,3,169.12
32,5.28,4,86,11,16,3,32,0,88.28
47,5.38,3,44,14,9,1,48,1,171.63
11,8.57,1,56,1,14,6,23,12,83.24
21,2.01,5,97,14,12,3,33,12,142.85
21,4.41,5,93,11,12,5,22,1,64.25
45,9.85,1,59,13,14,2,63,18,316.81
29,5.8,1,65,6,16,6,44,15,300.78
37,5.06,5,96,13,11,3,48,11,97.33
37,2.96,3,78,13,16,1,37,0,248.94
44,9.79,5,84,0,17,6,52,8,52.8
7,2.16,1,85,12,16,6,23,16,189.1
26,7.9,4,97,13,11,4,35,9,53.85
26,8.15,2,73,14,10,0,43,17,107.77
33,3.95,4,60,6,9,3,51,18,129.64
20,7.37,4,87,14,16,0,26,6,41.27
29,2.74,1,82,3,9,5,47,18,636.23
32,4.06,5,52,9,13,3,46,14,104.37
27,8.3,3,57,13,12,3,35,8,78.37
46,8.92,4,45,5,12,4,55,9,92.89
32,6.87,5,66,13,11,2,51,19,58.3
4,6.05,3,50,7,13,1,23,19,13.08
47,3.27,4,46,8,12,1,50,3,249.09
18,2.5,3,66,5,11,1,23,5,167.21
3,2.94,5,48,11,16,5,6,3,10.2
34,3.82,2,59,10,13,6,38,4,306.24
48,4.73,5,74,12,17,2,56,8,119.9
16,5.05,1,47,14,17,0,27,11,190.53
43,4.77,3,91,13,17,1,50,7,183.86
27,3.91,2,65,8,10,0,31,4,235.77
29,6.08,3,81,3,17,2,39,10,98.43
28,8.6,3,48,5,13,5,38,10,72.52
45,4.24,4,73,7,8,2,57,12,156.74
5,9.54,1,36,8,12,4,18,13,38.62
34,8.99,3,73,2,17,6,41,7,78.43
40,3.29,5,97,1,13,1,57,17,170.13
36,8.29,5,63,5,15,5,54,18,48.16
23,6.6,4,95,3,16,4,34,11,50.9
28,6.53,1,98,0,10,1,39,11,298.22
48,5.13,1,84,7,9,2,65,17,561.71
45,6.01,5,39,8,11,2,54,9,100.12
30,5.18,2,71,13,15,3,36,6,175.21
34,6.32,4,70,8,15,3,51,17,78.58
32,7.02,4,98,1,10,2,43,11,83.98
20,7.39,5,39,8,11,2,33,13,41.96
31,6.26,5,39,6,10,0,45,14,70.15
22,7.77,2,89,4,17,6,37,15,89.01
32,3.13,2,80,6,9,0,33,1,306.88
2,3.7,1,50,12,11,6,19,17,39.64
17,8.55,4,37,8,13,4,28,11,38.73
24,4.58,4,94,7,12,3,39,15,91.13
41,2.18,5,59,5,10,3,53,12,258.4
30,3.23,1,78,12,9,2,49,19,552.1
2,3.79,4,38,3,16,2,18,16,7.67
39,9.66,1,46,12,8,4,56,17,244.74
45,6.58,1,98,14,16,5,47,2,412.9
23,9.46,5,87,0,8,5,32,9,30.68
49,6.6,1,86,5,14,5,49,0,510.55
31,5.83,2,91,2,13,3,36,5,177.37
46,4.51,2,81,5,14,0,48,2,350.41
21,6.85,3,90,5,10,5,39,18,69.59
22,3.11,5,69,13,10,1,25,3,96.57
1,9.19,3,67,3,8,4,20,19,4.03
26,8.63,2,72,1,11,5,28,2,109.84
41,4.54,3,92,14,9,1,48,7,180.98
1,9.62,5,48,8,17,5,8,7,0.6
25,8.6,5,79,1,15,0,31,6,34.1
16,7.33,1,62,2,10,0,17,1,150.98
39,2.97,4,42,9,14,5,44,5,223.72
32,5.83,1,91,0,14,1,47,15,379.36
8,6.05,5,72,6,16,4,17,9,17.22
42,3.86,2,78,14,13,1,45,3,375.98
47,2.64,2,65,0,8,4,59,12,535.52
38,8.21,1,39,10,15,5,47,9,278.88
28,2.98,5,35,8,8,4,41,13,107.58
41,6.75,2,86,10,10,2,49,8,211.33
25,9.49,5,30,10,12,3,35,10,34.33
34,9.01,2,87,0,15,6,51,17,109.93
49,4.22,5,50,4,16,3,59,10,135.96
24,8.81,3,85,6,14,0,40,16,63.95
23,2.0,5,49,2,16,2,24,1,137.15
12,2.14,5,83,8,10,3,14,2,72.28
6,6.82,1,54,7,12,5,16,10,62.13
35,4.92,3,57,12,17,4,52,17,138.0
44,5.09,4,34,14,15,4,46,2,130.04
19,6.52,1,50,2,8,1,33,14,175.68
0,3.53,4,47,14,15,1,10,10,2.66
7,3.69,2,76,4,14,4,17,10,70.72
45,5.88,4,99,6,8,5,64,19,110.76
15,8.03,5,86,11,17,4,25,10,22.25
13,6.96,4,48,13,17,1,31,18,27.2
11,4.38,1,94,3,13,3,11,0,174.63
22,5.44,1,32,4,8,0,26,4,243.17
14,3.37,4,71,2,9,1,23,9,61.34
27,2.6,1,50,8,12,5,36,9,716.03
33,8.26,1,69,9,9,3,46,13,236.31
1,4.12,4,96,8,17,3,2,1,6.6
31,3.42,3,54,6,8,3,34,3,182.55
22,7.53,3,84,9,13,2,23,1,69.92
21,6.94,2,81,1,15,2,38,17,89.79
24,7.07,1,73,6,15,6,36,12,201.84
21,3.83,4,85,6,15,3,39,18,78.99
21,3.86,1,84,10,13,5,25,4,376.35
48,3.77,5,99,4,10,4,67,19,172.75
41,3.39,1,95,8,8,5,42,1,731.21
5,7.25,1,48,12,9,2,15,10,37.48
14,8.78,3,36,11,12,1,31,17,37.48
42,7.79,4,92,10,17,6,47,5,85.53
36,8.34,1,71,2,12,2,45,9,299.76
32,5.24,3,71,3,17,4,48,16,122.7
7,7.23,2,88,0,8,0,17,10,26.13
43,4.83,3,49,5,8,6,61,18,173.77
43,6.2,3,46,3,16,2,59,16,140.93
4,5.85,3,56,0,9,5,7,3,18.19
38,3.42,1,76,1,14,6,51,13,766.45
3,5.1,1,31,14,17,5,22,19,31.9
5,9.71,2,92,2,11,3,8,3,10.39
44,3.99,5,91,8,14,3,57,13,149.29
31,3.07,5,48,12,15,3,34,3,120.81
29,5.35,5,46,7,12,6,34,5,79.62
46,8.32,2,98,6,8,0,54,8,167.83
34,6.66,5,68,12,11,4,45,11,71.4
39,7.45,5,68,14,17,6,46,7,61.64
15,3.52,3,65,10,10,1,18,3,96.33
12,6.95,1,69,11,17,5,16,4,107.79
49,4.59,1,74,13,12,5,54,5,737.52
41,8.67,3,33,3,17,6,45,4,88.22
29,7.03,3,54,0,17,6,47,18,80.43
18,3.59,3,98,7,13,4,25,7,112.72
16,2.52,1,59,3,9,0,24,8,379.78
18,2.34,5,97,2,14,6,32,14,107.79
27,4.97,3,58,8,10,3,30,3,124.6
25,4.13,2,97,9,8,4,33,8,181.51
36,7.17,3,80,3,17,1,42,6,104.38
25,5.99,4,53,3,10,3,32,7,69.85
22,4.13,3,43,13,16,1,36,14,112.18
8,3.19,1,98,8,17,2,26,18,148.27
11,3.02,3,47,12,13,1,25,14,84.11
0,8.92,4,71,11,13,3,4,4,0.0
0,3.95,2,86,10,11,2,18,18,0.37
46,7.21,5,41,11,15,3,52,6,77.85
33,8.49,3,46,13,12,5,38,5,90.75
31,6.91,4,59,1,14,3,49,18,75.1
47,8.88,4,52,13,16,2,63,16,76.05
24,5.14,2,30,11,12,1,33,9,168.63
39,9.65,1,61,4,12,5,57,18,277.41
44,3.07,3,38,14,11,0,54,10,332.26
0,2.82,4,44,3,13,0,14,14,0.0
15,7.27,2,57,8,9,0,24,9,61.06
38,9.54,5,53,11,10,0,48,10,54.57
4,8.47,4,89,4,8,4,6,2,8.5
21,2.61,2,64,8,9,0,23,2,233.09
28,4.23,1,56,10,9,2,45,17,397.2
2,9.44,1,49,8,15,6,12,10,9.26
11,4.02,4,94,13,15,0,30,19,41.97
25,8.25,4,78,1,9,3,42,17,42.35
15,8.6,3,30,13,13,6,29,14,37.54
36,5.96,2,39,14,12,0,42,6,207.44
21,5.09,4,76,8,10,6,30,9,68.0
28,5.6,3,88,2,12,1,47,19,113.55
13,3.82,3,91,3,12,2,22,9,74.78
27,9.12,4,47,0,12,2,39,12,45.6
4,5.6,1,75,13,10,6,18,14,52.3
46,9.06,2,61,0,10,5,63,17,171.28
48,2.85,2,56,0,11,4,51,3,581.43
29,9.91,1,47,8,14,3,48,19,204.25
45,5.55,4,68,10,9,6,61,16,119.86
4,2.38,2,78,7,17,2,6,2,47.89
11,2.3,4,73,4,11,1,12,1,83.03
15,7.97,4,83,4,11,0,18,3,35.82
25,7.27,3,63,8,8,2,25,0,65.25
25,8.42,1,65,2,17,1,39,14,177.76
47,2.84,4,47,2,15,0,47,0,242.79
20,2.28,5,67,6,8,4,25,5,103.87
38,6.07,1,88,8,15,2,44,6,375.8
35,5.1,2,38,5,14,2,53,18,234.17
32,5.7,3,80,13,16,6,43,11,111.0
29,9.93,2,64,1,15,6,29,0,83.36
36,9.77,2,34,0,12,1,42,6,127.41
22,9.54,1,43,1,15,5,40,18,141.55
9,8.27,2,59,13,17,6,21,12,29.35
4,4.84,4,33,13,10,3,15,11,12.39
35,5.3,2,68,0,17,4,46,11,199.73
33,6.4,3,93,9,14,3,45,12,122.29
30,8.64,3,54,9,11,2,43,13,75.34
9,2.55,5,57,8,12,3,20,11,48.21
18,5.39,3,95,14,16,0,37,19,67.59
31,2.66,2,51,9,14,4,42,11,401.62
0,6.12,3,60,14,11,3,5,5,0.0
4,9.19,1,52,11,13,0,13,9,31.53
44,8.26,3,77,13,17,1,63,19,111.1
3,3.82,4,49,12,14,3,11,8,13.89
15,9.81,1,67,7,17,4,16,1,88.67
23,7.34,5,84,14,16,0,29,6,36.07
15,2.08,4,97,6,11,3,23,8,129.5
1,4.04,2,30,14,17,1,12,11,10.15
48,4.09,2,36,2,10,3,52,4,407.24
27,2.55,2,86,7,15,0,27,0,318.21
31,9.68,4,41,1,8,3,45,14,46.06
26,5.83,4,34,1,16,4,33,7,66.34
19,9.17,4,79,10,8,2,19,0,30.86
23,4.58,1,71,9,9,0,40,17,303.11
11,3.0,1,41,2,15,0,23,12,224.39
49,5.79,2,47,6,16,0,49,0,257.04
34,2.91,3,95,0,14,0,38,4,264.32
32,5.89,2,46,7,10,3,49,17,188.17
32,9.36,5,97,11,14,4,47,15,49.38
42,6.17,1,91,6,13,1,51,9,471.84
36,6.93,4,70,3,9,4,39,3,76.01
11,3.25,1,63,13,10,0,11,0,242.06
2,2.35,4,99,14,17,5,9,7,8.94
0,2.89,5,74,4,17,3,4,4,0.0
32,6.79,5,87,9,12,5,33,1,65.75
39,2.76,1,80,12,17,3,55,16,854.15
9,5.01,4,63,0,11,0,15,6,28.49
42,6.4,5,73,3,9,3,58,16,77.94
43,5.11,2,44,14,11,0,48,5,293.59
28,3.31,2,99,0,15,4,42,14,253.76
12,4.19,4,79,0,12,6,16,4,48.4
11,9.43,1,61,9,12,2,25,14,82.21
30,7.41,5,96,0,17,3,47,17,49.41
45,5.97,1,32,6,10,0,62,17,523.33
1,2.1,2,80,6,15,5,6,5,18.15
49,9.94,5,96,3,13,0,50,1,68.95
34,7.37,1,77,14,9,5,50,16,277.61
22,4.54,3,46,12,9,3,25,3,97.66
16,9.03,4,36,11,16,1,27,11,28.03
25,4.07,4,42,1,14,5,43,18,106.19
7,6.35,3,95,11,17,0,8,1,22.04
28,7.09,2,33,2,16,3,29,1,122.09
25,3.77,5,39,7,13,0,38,13,96.1
9,9.83,4,46,12,12,1,23,14,11.28
25,7.99,3,81,7,8,2,44,19,62.64
33,6.46,3,35,10,13,6,34,1,115.38
40,3.44,2,98,10,13,6,43,3,399.68
6,2.43,2,38,5,10,1,24,18,86.36
3,4.56,1,50,14,10,4,11,8,47.4
49,8.03,4,53,9,10,3,55,6,104.98
44,4.15,1,33,8,10,1,56,12,725.01
10,6.32,3,53,10,14,2,21,11,33.52
28,7.82,5,88,11,17,0,30,2,45.64
35,2.86,5,32,8,9,3,47,12,138.45
24,7.48,2,97,3,17,5,38,14,99.79
20,2.73,5,69,11,17,1,33,13,89.32
35,9.72,5,77,0,9,2,43,8,47.15
9,5.91,5,83,0,10,1,21,12,20.43
36,3.21,3,64,14,17,4,39,3,218.44
8,4.74,5,85,11,14,6,15,7,24.59
23,5.31,5,69,9,10,6,25,2,63.63
34,8.07,5,97,14,14,3,35,1,60.95
